year,county,president_dem,president_rep,president_total,governor_dem,governor_rep,governor_total,us_senate_dem,us_senate_rep,us_senate_total,attorney_general_dem,attorney_general_rep,attorney_general_total,cfo_dem,cfo_rep,cfo_total,agriculture_commissioner_dem,agriculture_commissioner_rep,agriculture_commissioner_total,us_house_dem,us_house_rep,us_house_total,state_senate_dem,state_senate_rep,state_senate_total,state_house_dem,state_house_rep,state_house_total
2010,Alachua,0,0,0,43933,28129,73961,21314,29825,74476,37225,32275,72135,36100,31958,71285,34821,31830,71213,8964,38062,68670,40076,32976,73052,19791,22993,43655
2010,Baker,0,0,0,2731,4940,7924,1031,5435,7995,1926,5502,7772,1735,5624,7737,1778,5532,7796,0,6399,7724,0,0,0,0,0,0
2010,Bay,0,0,0,15689,36512,54997,6028,40408,55646,11911,38387,53622,12797,39041,54087,12054,37392,53886,12338,40048,55529,1493,4834,7586,10905,44127,55032
2010,Bradford,0,0,0,2983,4850,8075,1374,5156,8135,2291,5090,7957,2077,5202,7755,2036,5502,8002,0,6212,7824,2598,5400,7998,0,0,0
2010,Brevard,0,0,0,80865,106838,196391,32069,107930,198788,67807,118295,194371,63761,118598,190572,62336,114210,191468,66899,127020,193965,0,70606,104265,41918,68759,110677
2010,Broward,0,0,0,271606,140445,420531,133026,133264,420243,249704,148069,412203,227889,165093,402502,233554,147983,402158,240866,133511,382700,90704,66995,161744,156771,70712,254004
2010,Calhoun,0,0,0,1855,2201,4296,597,2772,4313,1210,2567,4125,1376,2557,4136,1048,2973,4264,1265,2724,4323,2920,1157,4238,873,3375,4248
2010,Charlotte,0,0,0,23838,32207,59381,6932,31258,60199,18978,37198,58996,18623,36700,58051,17363,36316,58229,18765,39258,58573,23,59,82,12248,24113,36361
2010,Citrus,0,0,0,21596,29925,54808,6374,27517,55572,18560,33175,54710,16400,33924,53917,15398,33974,54180,17318,36087,53405,0,0,0,0,0,0
2010,Clay,0,0,0,17246,44547,63667,7253,44926,64225,13590,46528,62556,12864,46768,62713,12745,45331,62535,989,50076,62098,0,0,0,1767,6763,8530
2010,Collier,0,0,0,33408,66960,102833,8876,66349,103275,27094,70656,100458,23048,70429,95977,23363,69666,98920,24756,71790,101040,0,0,0,1565,27767,38304
2010,Columbia,0,0,0,7068,11089,18905,3056,11874,19110,5462,12302,18722,5108,12546,18532,5083,12142,18752,0,13866,18068,4080,9858,13938,8011,9751,18795
2010,Desoto,0,0,0,2887,3667,6906,1104,3608,7002,2244,4266,6842,2306,4110,6671,1931,4632,6849,2171,4659,6830,0,0,0,0,0,0
2010,Dixie,0,0,0,2058,2810,5239,914,3038,5266,1544,3050,5072,1581,3023,5031,1600,2908,5088,1641,3228,5272,0,0,0,2687,2485,5172
2010,Duval,0,0,0,120097,135074,261785,72184,140447,264036,103748,144489,257379,99898,146348,255587,100327,137830,254521,43202,163153,252115,33415,51025,84478,30611,103837,146201
2010,Escambia,0,0,0,36873,54607,95916,18377,55364,97514,31697,58467,94712,31204,58691,93575,29894,56709,94155,0,68628,89923,0,42444,53616,15677,69245,86784
2010,Flagler,0,0,0,14430,17711,33476,6764,17617,33715,12742,18894,32937,12036,18655,32450,12112,18273,32727,11646,21022,32668,13336,17593,30996,12757,19310,32067
2010,Franklin,0,0,0,1945,1938,4061,654,2223,4075,1477,2203,3908,1763,1979,3853,1538,2120,3912,1673,2216,4082,2067,1715,3941,1786,2111,3897
2010,Gadsden,0,0,0,12067,4324,16698,7894,4411,16760,11149,4747,16457,12057,4032,16361,11431,4540,16493,11186,4783,16559,13158,3010,16493,585,877,1462
2010,Gilchrist,0,0,0,1797,3321,5382,646,3531,5425,1321,3627,5353,1327,3566,5327,1181,3589,5321,0,4186,5278,1544,3778,5322,2071,2916,5358
2010,Glades,0,0,0,1072,1616,2785,341,1598,2802,897,1695,2739,857,1751,2724,745,1870,2767,872,1874,2749,395,821,1216,0,0,0
2010,Gulf,0,0,0,1779,2960,5036,724,3441,5069,1410,3215,4942,1458,3202,4827,1345,3286,4950,1371,3425,5082,2204,2529,4925,1219,3751,4970
2010,Hamilton,0,0,0,1865,1919,3991,1098,1966,4003,1552,2114,3900,1656,2024,3858,1613,2019,3922,0,2567,3551,0,0,0,2549,1354,3903
2010,Hardee,0,0,0,1881,3116,5220,771,2862,5278,1521,3325,5082,1438,3359,5042,1122,3924,5202,1262,3834,5096,0,0,0,0,4547,4550
2010,Hendry,0,0,0,2743,3551,6517,1355,3681,6571,2271,3835,6396,2184,3817,6227,2015,4164,6437,2384,4055,6439,0,0,0,0,0,0
2010,Hernando,0,0,0,25127,30056,58325,8020,27413,59186,20873,34726,58221,19147,34895,57238,18223,35385,57547,17913,39894,57807,0,0,0,20779,30675,51454
2010,Highlands,0,0,0,11143,17171,29847,4360,16489,30286,9322,19034,29755,8294,19457,29335,8084,19795,29660,8707,20704,29414,0,0,0,0,2723,2725
