district,longname,shortname,total_population,white_vap_pct,black_vap_pct,hispanic_vap_pct
1,District 1,D1,178511,65.64,20.76,5.39
2,District 2,D2,180797,69.98,16.53,6.01
3,District 3,D3,178528,79.52,7.38,5.42
4,District 4,D4,183737,70.47,10.6,9.71
5,District 5,D5,181243,77.53,12.75,5.06
6,District 6,D6,175216,75.92,10.28,6.85
7,District 7,D7,182734,75.13,15.0,6.14
8,District 8,D8,175555,37.6,49.21,8.79
9,District 9,D9,182853,69.37,17.68,6.32
10,District 10,D10,180867,73.46,16.45,5.89
11,District 11,D11,177922,68.15,13.62,10.2
12,District 12,D12,181072,58.3,20.7,12.88
13,District 13,D13,183002,40.56,47.61,6.63
14,District 14,D14,176278,35.65,49.25,10.16
15,District 15,D15,182272,69.99,18.04,6.33
16,District 16,D16,180047,67.59,11.66,10.32
17,District 17,D17,183248,60.63,13.71,12.3
18,District 18,D18,180300,80.16,4.17,7.72
19,District 19,D19,175457,78.1,8.81,8.16
20,District 20,D20,175874,79.04,9.37,7.14
21,District 21,D21,176405,50.64,28.13,12.96
22,District 22,D22,183529,73.36,8.08,10.05
23,District 23,D23,176178,86.46,3.06,5.82
24,District 24,D24,175595,69.43,9.16,16.05
25,District 25,D25,176494,62.32,10.23,20.56
26,District 26,D26,177279,74.64,10.6,10.13
27,District 27,D27,183145,76.82,6.16,12.42
28,District 28,D28,178466,71.61,16.14,6.91
29,District 29,D29,176556,59.93,10.12,25.07
30,District 30,D30,181596,83.8,5.87,5.27
31,District 31,D31,179252,78.62,7.61,7.78
32,District 32,D32,178737,77.47,6.21,9.29
33,District 33,D33,183186,64.14,14.96,13.96
34,District 34,D34,178835,79.07,6.92,10.03
35,District 35,D35,176404,48.12,9.86,31.86
36,District 36,D36,175313,55.34,15.17,19.84
37,District 37,D37,175353,54.38,9.96,25.33
38,District 38,D38,175442,57.94,10.68,24.37
39,District 39,D39,175326,53.46,16.69,22.97
40,District 40,D40,175326,28.22,46.26,18.49
41,District 41,D41,176364,18.82,42.0,29.46
42,District 42,D42,180528,64.43,8.94,19.14
43,District 43,D43,175629,25.97,9.46,57.69
44,District 44,D44,175329,34.09,8.91,43.38
45,District 45,D45,175973,57.81,7.59,20.43
46,District 46,D46,176200,21.16,13.19,58.99
47,District 47,D47,176233,27.42,8.38,58.48
48,District 48,D48,183593,55.43,16.96,23.21
49,District 49,D49,178192,63.01,11.7,20.43
50,District 50,D50,180902,61.13,15.3,18.76
51,District 51,D51,182359,54.73,11.27,29.36
52,District 52,D52,182726,84.11,6.43,6.14
53,District 53,D53,175358,78.34,3.93,13.04
54,District 54,D54,176277,65.05,9.66,18.3
55,District 55,D55,175430,74.09,4.96,13.99
56,District 56,D56,176367,77.67,4.37,12.78
57,District 57,D57,177343,83.78,3.24,7.45
58,District 58,D58,175888,73.77,7.81,12.65
59,District 59,D59,178235,77.55,6.2,9.62
60,District 60,D60,175492,73.47,7.11,10.03
61,District 61,D61,175321,80.15,4.33,8.29
62,District 62,D62,176028,35.81,38.11,20.73
63,District 63,D63,175559,28.83,42.34,24.06
64,District 64,D64,175706,27.96,8.9,56.66
65,District 65,D65,176912,66.74,6.54,17.79
66,District 66,D66,175639,59.92,7.04,24.25
67,District 67,D67,177964,46.17,18.39,21.36
68,District 68,D68,175705,58.72,9.58,25.75
69,District 69,D69,175349,55.41,14.51,22.17
70,District 70,D70,175478,63.77,12.02,19.24
71,District 71,D71,175460,68.12,10.47,17.41
72,District 72,D72,176500,76.39,4.87,13.2
73,District 73,D73,183473,82.93,4.25,8.36
74,District 74,D74,183447,80.3,4.39,10.38
75,District 75,D75,183275,86.82,3.5,5.67
76,District 76,D76,181871,79.93,5.21,11.5
77,District 77,D77,183022,52.09,12.36,31.32
78,District 78,D78,183124,65.12,11.74,18.03
79,District 79,D79,183355,70.13,3.97,21.42
80,District 80,D80,183411,85.96,1.2,9.36
81,District 81,D81,182510,77.52,3.99,15.37
82,District 82,D82,183534,43.46,9.5,43.96
83,District 83,D83,178332,65.97,9.29,21.09
84,District 84,D84,183408,59.94,19.85,16.09
85,District 85,D85,182082,62.58,14.77,17.22
86,District 86,D86,179269,77.62,4.71,14.05
87,District 87,D87,182880,71.92,7.01,15.84
88,District 88,D88,175984,23.66,48.47,23.16
89,District 89,D89,177515,29.29,15.09,51.51
90,District 90,D90,179439,58.56,23.35,13.29
91,District 91,D91,180714,71.56,5.64,14.65
92,District 92,D92,179284,73.65,7.03,12.67
93,District 93,D93,180537,54.09,14.34,24.97
94,District 94,D94,178736,55.18,19.63,20.04
95,District 95,D95,181346,44.47,20.88,23.93
96,District 96,D96,180503,37.4,23.72,30.92
97,District 97,D97,181456,17.48,56.1,21.59
98,District 98,D98,183663,34.93,33.83,23.13
99,District 99,D99,180790,27.61,50.67,17.95
100,District 100,D100,182865,69.29,7.7,16.74
101,District 101,D101,179020,47.01,12.21,34.45
102,District 102,D102,183490,45.4,11.58,34.89
103,District 103,D103,182670,25.36,12.81,51.58
104,District 104,D104,176085,10.92,38.24,45.31
105,District 105,D105,183727,20.23,35.35,39.77
106,District 106,D106,180735,43.47,3.64,46.76
107,District 107,D107,183505,12.42,47.61,36.16
108,District 108,D108,181345,13.58,47.74,35.42
109,District 109,D109,183366,4.86,35.17,58.37
110,District 110,D110,178199,5.41,4.11,88.91
111,District 111,D111,182977,5.38,1.59,90.11
112,District 112,D112,179362,4.07,1.17,93.99
113,District 113,D113,182742,20.75,2.49,71.94
114,District 114,D114,181962,18.15,4.18,74.5
115,District 115,D115,183386,23.77,5.34,65.86
116,District 116,D116,182984,8.24,1.84,87.41
117,District 117,D117,182260,6.6,26.11,65.06
118,District 118,D118,183694,7.67,4.04,85.74
119,District 119,D119,183655,7.48,3.7,85.2
120,District 120,D120,183229,41.58,10.18,44.89
