district,longname,shortname,total_population,white_vap_pct,black_vap_pct,hispanic_vap_pct
1,District 1,D1,539263,71.21,15.27,5.69
2,District 2,D2,538769,75.05,10.92,7.12
3,District 3,D3,541142,61.09,26.93,7.06
4,District 4,D4,542508,68.65,12.85,9.18
5,District 5,D5,543411,42.31,40.56,10.43
6,District 6,D6,538821,70.33,14.07,8.79
7,District 7,D7,541606,78.98,7.44,7.85
8,District 8,D8,543176,71.02,10.67,13.21
9,District 9,D9,536986,68.26,13.18,12.39
10,District 10,D10,535435,60.24,11.25,20.15
11,District 11,D11,538539,83.13,4.46,8.19
12,District 12,D12,536474,56.29,14.78,24.29
13,District 13,D13,536634,66.46,9.14,15.73
14,District 14,D14,535992,51.06,7.78,32.62
15,District 15,D15,534207,30.96,35.6,25.35
16,District 16,D16,535448,40.59,31.43,21.78
17,District 17,D17,533788,43.46,9.49,38.03
18,District 18,D18,542722,76.69,5.92,9.7
19,District 19,D19,537497,73.88,9.43,10.15
20,District 20,D20,535067,67.07,10.17,17.22
21,District 21,D21,535205,79.08,4.71,10.61
22,District 22,D22,533476,81.75,4.04,9.59
23,District 23,D23,536137,59.8,10.76,21.41
24,District 24,D24,543535,39.47,23.81,32.22
25,District 25,D25,533312,30.01,9.71,52.56
26,District 26,D26,540142,64.67,15.22,14.53
27,District 27,D27,534545,71.31,8.49,16.04
28,District 28,D28,537495,62.86,7.13,26.59
29,District 29,D29,535749,67.6,12.79,15.46
30,District 30,D30,539428,46.84,20.23,22.81
31,District 31,D31,540900,68.92,10.43,15.57
32,District 32,D32,542051,27.19,44.58,23.13
33,District 33,D33,538875,72.86,5.68,17.18
34,District 34,D34,533571,11.93,47.06,37.96
35,District 35,D35,542250,27.32,18.89,45.26
36,District 36,D36,540685,14.5,3.68,78.49
37,District 37,D37,542618,50.93,13.85,29.79
38,District 38,D38,543674,18.41,11.23,66.39
39,District 39,D39,534522,4.86,3.24,90.13
40,District 40,D40,542532,18.73,6.71,71.5
